Sub,Vehicle,task,Mental,Physical,Hurried,Successful,Work,Insecure,Intuitive,Complex
500,057b 2018 Nissan Pathfinder SL,SMSRS_V,13,13,10,15,12,6,5,4
500,057b 2018 Nissan Pathfinder SL,Nav_V,21,8,15,2,21,21,2,21
500,057b 2018 Nissan Pathfinder SL,Single,2,2,4,4,6,1,21,1
500,057b 2018 Nissan Pathfinder SL,Nav_CS,12,9,12,18,4,2,16,3
500,057b 2018 Nissan Pathfinder SL,SuRT,14,13,13,17,16,3,19,1
500,057b 2018 Nissan Pathfinder SL,CD_V,5,6,5,19,6,3,5,4
500,057b 2018 Nissan Pathfinder SL,nBack,14,19,13,14,21,15,19,1
500,057b 2018 Nissan Pathfinder SL,CD_CS,5,5,6,19,3,2,19,3
500,057b 2018 Nissan Pathfinder SL,Audio_CS,10,9,7,20,15,16,5,19
500,057b 2018 Nissan Pathfinder SL,Audio_V,18,10,13,10,18,18,4,20
183,057a 2018 Nissan Pathfinder SL,Single,15,2,10,17,15,15,12,8
183,057a 2018 Nissan Pathfinder SL,SuRT,20,15,12,17,20,16,8,4
183,057a 2018 Nissan Pathfinder SL,SMSRS_V,21,12,15,20,15,1,15,5
183,057a 2018 Nissan Pathfinder SL,nBack,21,21,12,18,21,21,18,1
183,057a 2018 Nissan Pathfinder SL,SMSRS_CS,18,18,12,20,18,1,12,10
183,057a 2018 Nissan Pathfinder SL,Audio_CS,20,15,10,16,20,10,8,15
183,057a 2018 Nissan Pathfinder SL,Nav_V,20,12,20,20,21,2,1,21
183,057a 2018 Nissan Pathfinder SL,Audio_V,12,10,12,21,6,5,21,6
183,057a 2018 Nissan Pathfinder SL,Nav_CS,14,12,5,21,5,1,21,1
183,057a 2018 Nissan Pathfinder SL,CD_CS,12,10,6,21,7,1,20,1
183,057a 2018 Nissan Pathfinder SL,CD_V,16,8,8,21,8,4,21,1
212,057a 2018 Nissan Pathfinder SL,SuRT,10,5,5,12,10,6,15,14
212,057a 2018 Nissan Pathfinder SL,nBack,18,1,5,12,15,7,15,5
212,057a 2018 Nissan Pathfinder SL,Single,3,3,3,15,5,4,17,3
212,057a 2018 Nissan Pathfinder SL,Audio_CS,12,15,7,15,10,5,11,11
212,057a 2018 Nissan Pathfinder SL,SMSRS_V,5,1,2,18,5,4,10,7
212,057a 2018 Nissan Pathfinder SL,Audio_V,1,1,1,16,4,3,3,3
212,057a 2018 Nissan Pathfinder SL,SMSRS_CS,6,11,4,14,14,5,13,5
212,057a 2018 Nissan Pathfinder SL,CD_CS,2,2,2,18,2,2,18,2
212,057a 2018 Nissan Pathfinder SL,Nav_V,4,4,4,13,4,3,13,4
212,057a 2018 Nissan Pathfinder SL,CD_V,2,2,2,15,2,2,18,2
212,057a 2018 Nissan Pathfinder SL,Nav_CS,2,2,2,18,2,2,16,4
213,057a 2018 Nissan Pathfinder SL,nBack,14,3,16,10,16,7,16,4
213,057a 2018 Nissan Pathfinder SL,Audio_CS,8,5,10,19,13,2,7,3
213,057a 2018 Nissan Pathfinder SL,SuRT,7,6,2,18,8,1,20,1
213,057a 2018 Nissan Pathfinder SL,Audio_V,6,1,3,14,6,7,10,6
213,057a 2018 Nissan Pathfinder SL,Single,2,1,3,19,4,1,21,1
213,057a 2018 Nissan Pathfinder SL,CD_CS,5,2,4,20,5,1,16,7
213,057a 2018 Nissan Pathfinder SL,SMSRS_V,8,1,5,16,10,4,17,5
213,057a 2018 Nissan Pathfinder SL,CD_V,6,2,5,17,5,3,16,3
213,057a 2018 Nissan Pathfinder SL,SMSRS_CS,9,9,5,15,11,4,12,4
213,057a 2018 Nissan Pathfinder SL,Nav_CS,7,7,3,19,10,1,9,9
213,057a 2018 Nissan Pathfinder SL,Nav_V,11,2,8,13,9,4,11,13
188,057a 2018 Nissan Pathfinder SL,Audio_CS,15,17,17,13,9,10,10,17
188,057a 2018 Nissan Pathfinder SL,Audio_V,7,5,6,18,5,6,4,5
188,057a 2018 Nissan Pathfinder SL,nBack,18,3,6,3,18,17,3,1
188,057a 2018 Nissan Pathfinder SL,CD_CS,4,13,5,12,14,2,17,5
188,057a 2018 Nissan Pathfinder SL,SuRT,17,17,17,14,10,8,5,7
188,057a 2018 Nissan Pathfinder SL,CD_V,4,9,5,19,6,8,18,10
188,057a 2018 Nissan Pathfinder SL,Single,3,1,4,17,16,2,19,6
188,057a 2018 Nissan Pathfinder SL,Nav_CS,12,12,8,9,9,2,4,7
188,057a 2018 Nissan Pathfinder SL,SMSRS_V,4,15,9,9,10,10,7,18
188,057a 2018 Nissan Pathfinder SL,Nav_V,4,17,8,15,8,10,7,7
188,057a 2018 Nissan Pathfinder SL,SMSRS_CS,7,11,8,7,9,9,7,13
211,057a 2018 Nissan Pathfinder SL,Audio_V,3,2,3,14,7,3,18,5
211,057a 2018 Nissan Pathfinder SL,CD_CS,3,3,3,3,4,3,17,5
211,057a 2018 Nissan Pathfinder SL,Audio_CS,3,3,3,19,9,14,10,4
211,057a 2018 Nissan Pathfinder SL,CD_V,3,3,3,18,2,2,19,2
211,057a 2018 Nissan Pathfinder SL,nBack,21,3,17,3,19,4,19,18
211,057a 2018 Nissan Pathfinder SL,Nav_CS,4,3,3,18,5,3,20,4
211,057a 2018 Nissan Pathfinder SL,SuRT,7,2,3,17,11,3,19,3
211,057a 2018 Nissan Pathfinder SL,Nav_V,3,1,3,18,4,3,18,4
211,057a 2018 Nissan Pathfinder SL,Single,3,2,2,16,4,3,20,2
211,057a 2018 Nissan Pathfinder SL,SMSRS_CS,3,3,3,3,3,3,18,3
211,057a 2018 Nissan Pathfinder SL,SMSRS_V,3,3,3,17,4,3,17,3
220,057a 2018 Nissan Pathfinder SL,CD_CS,15,1,7,17,19,1,21,1
220,057a 2018 Nissan Pathfinder SL,CD_V,10,1,1,18,10,4,18,1
220,057a 2018 Nissan Pathfinder SL,Audio_V,12,1,1,10,13,11,12,9
220,057a 2018 Nissan Pathfinder SL,Nav_CS,5,1,1,20,3,1,20,1
220,057a 2018 Nissan Pathfinder SL,Audio_CS,6,1,1,20,1,3,18,1
220,057a 2018 Nissan Pathfinder SL,Nav_V,6,1,1,20,17,3,18,1
220,057a 2018 Nissan Pathfinder SL,nBack,15,1,4,16,16,3,17,4
220,057a 2018 Nissan Pathfinder SL,SMSRS_CS,13,1,1,19,21,7,21,1
220,057a 2018 Nissan Pathfinder SL,SuRT,13,7,4,18,18,8,21,1
220,057a 2018 Nissan Pathfinder SL,SMSRS_V,3,1,1,21,4,1,20,7
220,057a 2018 Nissan Pathfinder SL,Single,1,1,1,21,1,1,21,1
192,057a 2018 Nissan Pathfinder SL,CD_V,3,3,8,20,6,2,15,5
192,057a 2018 Nissan Pathfinder SL,Nav_CS,5,3,9,18,6,3,15,4
192,057a 2018 Nissan Pathfinder SL,CD_CS,3,3,5,20,5,4,15,5
192,057a 2018 Nissan Pathfinder SL,Nav_V,12,12,15,12,15,10,6,16
192,057a 2018 Nissan Pathfinder SL,Audio_V,12,12,12,10,14,6,7,15
192,057a 2018 Nissan Pathfinder SL,SMSRS_CS,2,2,4,20,3,2,18,3
192,057a 2018 Nissan Pathfinder SL,Audio_CS,7,5,8,15,12,5,10,10
192,057a 2018 Nissan Pathfinder SL,SMSRS_V,5,5,5,15,9,5,12,8
192,057a 2018 Nissan Pathfinder SL,nBack,18,12,18,8,18,10,1,1
192,057a 2018 Nissan Pathfinder SL,Single,2,3,1,15,5,2,21,21
192,057a 2018 Nissan Pathfinder SL,SuRT,15,15,15,15,15,5,5,5
221,057a 2018 Nissan Pathfinder SL,Nav_CS,11,2,8,15,15,5,15,1
221,057a 2018 Nissan Pathfinder SL,Nav_V,10,3,8,18,11,9,10,5
221,057a 2018 Nissan Pathfinder SL,CD_V,6,5,2,18,5,4,10,5
221,057a 2018 Nissan Pathfinder SL,SMSRS_CS,12,12,5,18,15,5,16,5
221,057a 2018 Nissan Pathfinder SL,CD_CS,2,2,2,20,2,1,21,1
221,057a 2018 Nissan Pathfinder SL,SMSRS_V,3,3,3,20,3,3,18,3
221,057a 2018 Nissan Pathfinder SL,Audio_V,2,2,2,21,2,2,16,2
221,057a 2018 Nissan Pathfinder SL,Single,1,1,4,19,1,1,21,1
221,057a 2018 Nissan Pathfinder SL,Audio_CS,5,5,2,20,5,1,20,2
221,057a 2018 Nissan Pathfinder SL,SuRT,15,9,10,18,14,4,21,1
221,057a 2018 Nissan Pathfinder SL,nBack,21,4,14,1,21,21,1,21
214,057a 2018 Nissan Pathfinder SL,Nav_V,5,5,10,15,13,13,9,3
214,057a 2018 Nissan Pathfinder SL,SMSRS_CS,7,7,3,20,5,5,15,4
214,057a 2018 Nissan Pathfinder SL,Nav_CS,4,5,1,21,8,3,16,4
214,057a 2018 Nissan Pathfinder SL,SMSRS_V,4,4,8,20,7,4,17,3
214,057a 2018 Nissan Pathfinder SL,CD_V,2,2,2,20,3,3,19,2
214,057a 2018 Nissan Pathfinder SL,Single,4,2,7,18,10,6,14,10
214,057a 2018 Nissan Pathfinder SL,CD_CS,2,2,2,21,2,2,19,2
214,057a 2018 Nissan Pathfinder SL,SuRT,15,10,9,12,18,18,6,11
214,057a 2018 Nissan Pathfinder SL,Audio_V,3,1,2,21,2,1,21,1
214,057a 2018 Nissan Pathfinder SL,nBack,18,1,9,13,18,10,3,17
214,057a 2018 Nissan Pathfinder SL,Audio_CS,4,11,13,21,11,10,9,1
217,057a 2018 Nissan Pathfinder SL,SMSRS_CS,14,7,13,16,14,11,15,9
217,057a 2018 Nissan Pathfinder SL,SMSRS_V,17,10,17,12,13,13,15,10
217,057a 2018 Nissan Pathfinder SL,Nav_V,15,16,14,14,16,13,11,13
217,057a 2018 Nissan Pathfinder SL,Single,5,3,6,17,5,4,17,4
217,057a 2018 Nissan Pathfinder SL,Nav_CS,13,15,11,12,15,13,13,12
217,057a 2018 Nissan Pathfinder SL,SuRT,16,16,16,15,17,13,14,13
217,057a 2018 Nissan Pathfinder SL,CD_V,15,12,13,9,14,14,11,13
217,057a 2018 Nissan Pathfinder SL,nBack,18,7,16,8,18,16,10,17
217,057a 2018 Nissan Pathfinder SL,CD_CS,13,14,16,14,13,13,16,12
217,057a 2018 Nissan Pathfinder SL,Audio_CS,14,14,14,15,14,12,12,10
217,057a 2018 Nissan Pathfinder SL,Audio_V,12,11,12,9,13,14,9,11
223,057a 2018 Nissan Pathfinder SL,SMSRS_V,10,3,3,10,10,7,10,5
223,057a 2018 Nissan Pathfinder SL,Single,7,3,5,10,13,5,7,10
223,057a 2018 Nissan Pathfinder SL,SMSRS_CS,5,3,3,15,5,5,15,10
223,057a 2018 Nissan Pathfinder SL,SuRT,9,3,10,13,13,10,10,5
223,057a 2018 Nissan Pathfinder SL,Nav_V,10,3,5,10,13,5,6,10
223,057a 2018 Nissan Pathfinder SL,nBack,15,3,10,10,15,10,10,10
223,057a 2018 Nissan Pathfinder SL,Nav_CS,7,3,5,13,10,5,10,10
223,057a 2018 Nissan Pathfinder SL,Audio_CS,7,3,5,10,15,3,5,13
223,057a 2018 Nissan Pathfinder SL,CD_V,7,3,5,15,10,3,10,10
223,057a 2018 Nissan Pathfinder SL,Audio_V,3,3,3,13,10,7,7,10
223,057a 2018 Nissan Pathfinder SL,CD_CS,5,3,3,13,10,5,5,5
228,057a 2018 Nissan Pathfinder SL,Single,3,1,1,18,3,3,21,1
228,057a 2018 Nissan Pathfinder SL,SuRT,15,5,15,10,13,8,13,5
228,057a 2018 Nissan Pathfinder SL,SMSRS_V,19,16,17,7,16,17,9,10
228,057a 2018 Nissan Pathfinder SL,nBack,21,3,16,7,18,14,8,17
228,057a 2018 Nissan Pathfinder SL,SMSRS_CS,4,4,2,17,2,2,19,2
228,057a 2018 Nissan Pathfinder SL,Audio_CS,3,2,2,17,5,1,13,10
228,057a 2018 Nissan Pathfinder SL,Nav_V,15,4,15,4,17,6,3,5
228,057a 2018 Nissan Pathfinder SL,Audio_V,4,1,3,5,10,6,13,5
228,057a 2018 Nissan Pathfinder SL,Nav_CS,1,1,1,18,2,1,19,2
228,057a 2018 Nissan Pathfinder SL,CD_CS,1,1,1,20,2,1,19,2
228,057a 2018 Nissan Pathfinder SL,CD_V,2,1,1,20,2,1,19,2
215,057a 2018 Nissan Pathfinder SL,SuRT,20,13,16,17,18,14,20,2
215,057a 2018 Nissan Pathfinder SL,nBack,21,10,11,6,18,20,18,3
215,057a 2018 Nissan Pathfinder SL,Single,10,3,6,20,13,3,21,1
215,057a 2018 Nissan Pathfinder SL,Audio_CS,16,4,8,21,15,6,15,5
215,057a 2018 Nissan Pathfinder SL,SMSRS_V,14,3,12,19,13,4,20,3
215,057a 2018 Nissan Pathfinder SL,Audio_V,18,3,6,20,16,5,15,5
215,057a 2018 Nissan Pathfinder SL,SMSRS_CS,19,4,10,18,19,5,13,5
215,057a 2018 Nissan Pathfinder SL,CD_CS,19,4,7,18,18,5,18,3
215,057a 2018 Nissan Pathfinder SL,Nav_V,14,4,7,20,14,3,18,2
215,057a 2018 Nissan Pathfinder SL,CD_V,13,4,6,18,15,4,13,8
215,057a 2018 Nissan Pathfinder SL,Nav_CS,17,4,4,14,15,6,18,5
209,057a 2018 Nissan Pathfinder SL,nBack,18,1,18,5,18,10,5,18
209,057a 2018 Nissan Pathfinder SL,Audio_CS,13,5,13,13,10,10,10,10
209,057a 2018 Nissan Pathfinder SL,SuRT,5,5,5,13,13,13,18,13
209,057a 2018 Nissan Pathfinder SL,Audio_V,13,1,5,13,13,13,1,15
209,057a 2018 Nissan Pathfinder SL,Single,5,5,5,19,13,7,10,10
209,057a 2018 Nissan Pathfinder SL,CD_CS,5,5,5,13,13,13,13,5
209,057a 2018 Nissan Pathfinder SL,SMSRS_V,13,13,12,13,13,20,1,20
209,057a 2018 Nissan Pathfinder SL,CD_V,5,5,5,10,10,13,5,15
209,057a 2018 Nissan Pathfinder SL,SMSRS_CS,5,5,5,5,5,15,5,5
209,057a 2018 Nissan Pathfinder SL,Nav_CS,5,5,10,19,10,17,16,8
209,057a 2018 Nissan Pathfinder SL,Nav_V,5,5,5,12,13,10,10,12
231,057a 2018 Nissan Pathfinder SL,Audio_CS,12,10,6,15,12,15,10,10
231,057a 2018 Nissan Pathfinder SL,Audio_V,10,1,5,10,10,8,12,8
231,057a 2018 Nissan Pathfinder SL,nBack,16,1,14,14,14,16,21,1
231,057a 2018 Nissan Pathfinder SL,CD_CS,6,9,10,19,13,7,12,8
231,057a 2018 Nissan Pathfinder SL,SuRT,4,15,10,18,17,12,14,13
231,057a 2018 Nissan Pathfinder SL,CD_V,8,3,5,15,5,8,15,5
231,057a 2018 Nissan Pathfinder SL,Single,4,1,3,19,3,2,20,2
231,057a 2018 Nissan Pathfinder SL,Nav_CS,10,12,11,21,13,5,15,5
231,057a 2018 Nissan Pathfinder SL,SMSRS_V,13,2,7,19,5,7,8,12
231,057a 2018 Nissan Pathfinder SL,Nav_V,8,5,4,21,12,10,10,8
231,057a 2018 Nissan Pathfinder SL,SMSRS_CS,17,12,10,16,19,8,14,7
229,057a 2018 Nissan Pathfinder SL,Audio_V,8,8,8,13,12,5,16,4
229,057a 2018 Nissan Pathfinder SL,CD_CS,1,1,1,18,2,1,20,2
229,057a 2018 Nissan Pathfinder SL,Audio_CS,5,5,1,19,10,2,18,1
229,057a 2018 Nissan Pathfinder SL,CD_V,1,8,1,18,8,1,18,1
229,057a 2018 Nissan Pathfinder SL,nBack,18,10,14,10,18,16,10,18
229,057a 2018 Nissan Pathfinder SL,Nav_CS,1,1,1,18,1,1,18,1
229,057a 2018 Nissan Pathfinder SL,SuRT,6,6,1,15,10,1,8,3
229,057a 2018 Nissan Pathfinder SL,Nav_V,2,1,2,10,1,1,18,2
229,057a 2018 Nissan Pathfinder SL,Single,1,1,1,19,1,1,20,1
229,057a 2018 Nissan Pathfinder SL,SMSRS_CS,1,1,1,18,2,1,19,1
229,057a 2018 Nissan Pathfinder SL,SMSRS_V,1,1,1,18,1,1,18,1
232,057a 2018 Nissan Pathfinder SL,Single,9,10,12,13,13,9,18,6
232,057a 2018 Nissan Pathfinder SL,SuRT,13,13,12,10,13,8,10,8
232,057a 2018 Nissan Pathfinder SL,SMSRS_V,16,15,16,10,16,12,17,13
232,057a 2018 Nissan Pathfinder SL,nBack,16,15,16,9,13,10,10,15
232,057a 2018 Nissan Pathfinder SL,SMSRS_CS,13,16,14,10,14,14,19,8
232,057a 2018 Nissan Pathfinder SL,Audio_CS,14,14,8,10,13,7,12,17
232,057a 2018 Nissan Pathfinder SL,Nav_V,13,11,10,15,9,8,15,7
232,057a 2018 Nissan Pathfinder SL,Audio_V,16,15,10,10,14,13,18,6
232,057a 2018 Nissan Pathfinder SL,Nav_CS,10,10,8,15,12,8,15,9
232,057a 2018 Nissan Pathfinder SL,CD_CS,9,12,12,15,10,8,15,7
232,057a 2018 Nissan Pathfinder SL,CD_V,10,14,9,14,9,9,14,8
218,057a 2018 Nissan Pathfinder SL,SuRT,9,12,6,13,7,4,15,5
218,057a 2018 Nissan Pathfinder SL,nBack,14,4,17,8,12,15,20,2
218,057a 2018 Nissan Pathfinder SL,Single,3,5,4,19,5,3,16,4
218,057a 2018 Nissan Pathfinder SL,Audio_CS,7,3,5,21,5,6,17,3
218,057a 2018 Nissan Pathfinder SL,SMSRS_V,6,5,3,21,4,4,19,3
218,057a 2018 Nissan Pathfinder SL,Audio_V,7,2,2,12,12,12,16,5
218,057a 2018 Nissan Pathfinder SL,SMSRS_CS,9,12,8,17,10,6,14,5
218,057a 2018 Nissan Pathfinder SL,CD_CS,7,4,5,18,6,7,16,5
218,057a 2018 Nissan Pathfinder SL,Nav_V,10,2,13,1,12,17,3,17
218,057a 2018 Nissan Pathfinder SL,CD_V,5,2,4,19,8,5,17,4
218,057a 2018 Nissan Pathfinder SL,Nav_CS,4,4,3,18,5,3,16,5
230,057a 2018 Nissan Pathfinder SL,nBack,16,1,2,14,17,14,21,1
230,057a 2018 Nissan Pathfinder SL,Audio_CS,6,3,7,12,16,14,18,2
230,057a 2018 Nissan Pathfinder SL,SuRT,4,2,6,14,16,6,21,1
230,057a 2018 Nissan Pathfinder SL,Audio_V,2,1,2,19,3,2,19,1
230,057a 2018 Nissan Pathfinder SL,Single,2,1,1,19,3,1,21,1
230,057a 2018 Nissan Pathfinder SL,CD_CS,2,1,2,14,5,8,10,4
230,057a 2018 Nissan Pathfinder SL,SMSRS_V,2,1,1,14,3,2,19,1
230,057a 2018 Nissan Pathfinder SL,CD_V,2,1,2,16,3,2,20,1
230,057a 2018 Nissan Pathfinder SL,SMSRS_CS,1,1,2,17,2,2,21,1
230,057a 2018 Nissan Pathfinder SL,Nav_CS,2,1,3,17,4,2,21,1
230,057a 2018 Nissan Pathfinder SL,Nav_V,2,1,2,18,3,2,21,1
234,057a 2018 Nissan Pathfinder SL,Audio_CS,21,17,11,14,21,15,11,11
234,057a 2018 Nissan Pathfinder SL,Audio_V,13,4,5,16,13,8,15,7
234,057a 2018 Nissan Pathfinder SL,nBack,21,1,3,6,21,13,5,19
234,057a 2018 Nissan Pathfinder SL,CD_CS,3,3,3,17,5,1,21,1
234,057a 2018 Nissan Pathfinder SL,SuRT,10,13,13,14,10,1,18,1
234,057a 2018 Nissan Pathfinder SL,CD_V,5,3,1,18,5,2,19,1
234,057a 2018 Nissan Pathfinder SL,Single,5,1,1,19,1,1,21,1
234,057a 2018 Nissan Pathfinder SL,Nav_CS,7,13,4,19,3,1,19,1
234,057a 2018 Nissan Pathfinder SL,SMSRS_V,10,10,1,18,5,10,10,10
234,057a 2018 Nissan Pathfinder SL,Nav_V,6,4,3,18,5,14,5,4
234,057a 2018 Nissan Pathfinder SL,SMSRS_CS,6,10,1,19,7,1,16,1
187,057a 2018 Nissan Pathfinder SL,Audio_V,19,6,15,21,14,14,13,8
187,057a 2018 Nissan Pathfinder SL,CD_CS,15,15,11,17,14,9,13,19
187,057a 2018 Nissan Pathfinder SL,CD_V,10,7,7,20,9,4,17,4
187,057a 2018 Nissan Pathfinder SL,Audio_CS,18,15,7,16,16,15,18,12
187,057a 2018 Nissan Pathfinder SL,nBack,20,4,7,9,6,13,12,12
187,057a 2018 Nissan Pathfinder SL,Nav_CS,11,13,8,20,7,3,20,11
187,057a 2018 Nissan Pathfinder SL,SuRT,9,16,5,14,8,7,14,6
187,057a 2018 Nissan Pathfinder SL,Nav_V,10,11,10,19,12,13,15,14
187,057a 2018 Nissan Pathfinder SL,Single,4,3,3,4,10,14,12,13
187,057a 2018 Nissan Pathfinder SL,SMSRS_CS,10,7,7,20,6,6,6,7
187,057a 2018 Nissan Pathfinder SL,SMSRS_V,14,16,7,18,19,9,17,13
226,057a 2018 Nissan Pathfinder SL,CD_CS,3,5,3,21,5,3,15,3
226,057a 2018 Nissan Pathfinder SL,CD_V,3,3,3,21,3,3,17,3
226,057a 2018 Nissan Pathfinder SL,Audio_V,3,3,3,20,3,2,18,5
226,057a 2018 Nissan Pathfinder SL,Nav_CS,4,7,5,19,8,5,15,6
226,057a 2018 Nissan Pathfinder SL,Audio_CS,10,13,8,15,15,14,10,15
226,057a 2018 Nissan Pathfinder SL,Nav_V,5,5,5,21,5,3,18,3
226,057a 2018 Nissan Pathfinder SL,nBack,18,1,15,13,20,13,1,17
226,057a 2018 Nissan Pathfinder SL,SMSRS_CS,5,10,3,20,7,9,10,10
226,057a 2018 Nissan Pathfinder SL,SuRT,8,18,8,10,15,11,10,15
226,057a 2018 Nissan Pathfinder SL,SMSRS_V,5,5,5,20,6,5,17,4
226,057a 2018 Nissan Pathfinder SL,Single,2,2,2,20,2,3,20,2
236,057a 2018 Nissan Pathfinder SL,Nav_CS,3,5,7,16,6,5,15,16
236,057a 2018 Nissan Pathfinder SL,Nav_V,15,7,2,10,13,19,4,3
